UKER;;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Martadinata;;;;;;;;
28-Dec;CASA;677,84;697,2;967,1;1.134,10;676,52;941,17;1.202,73;847,59;1.223,08;962,81;652,35;954,3;1.324,18;918,39;939,98;722,35;833,14;1.130,75;959,85;741,68;907,11;316,88;892,19;528,76;510,96;374,79;337,07;22.374,90;4.152,77;5.177,39;4.789,21;5.294,88;2.960,66;;
29-Dec;CASA;677,52;696,95;970,22;1.135,19;671,38;925,55;1.204,74;846,1;1.225,59;966,39;652,93;954,85;1.323,58;919,61;946,53;725,58;832,9;1.132,66;958,82;745,63;908,74;318,5;896,37;530,76;513,03;376,44;335,56;22.392,11;4.151,26;5.168,36;4.797,50;5.304,33;2.970,65;;
30-Dec;CASA;683,69;703,72;974,56;1.143,73;675,82;929,54;1.213,49;851,16;1.227,67;970,11;656,54;962,41;1.328,48;925,1;954,48;729,47;843,79;1.140,23;962,84;750,93;910,18;319,66;893,73;535,48;524,7;378,22;352,14;22.541,87;4.181,52;5.191,97;4.827,01;5.337,44;3.003,93;;
31-Dec;CASA;690,61;720,82;988,62;1.156,66;686,87;935,61;1.232,39;856,56;1.236,05;980,36;667,85;977,42;1.353,06;927,91;973,72;730,12;852,88;1.144,86;970,77;759,08;928,86;321,75;896,27;538,04;526,5;382,35;350,2;22.786,21;4.243,58;5.240,98;4.899,96;5.386,56;3.015,12;;
UKER;;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Martadinata;;;;;;;;
01-Jan;CASA;688;724,53;976,1;1.147,27;678,05;940,68;1.223,06;858,39;1.237,22;975,66;657,19;978,93;1.345,20;931,87;965,61;726,6;855,64;1.157,38;972,88;759,9;931,37;442,8;406,65;332;355,76;385;423,06;281,55;374,6;22.732,94;4.213,95;5.235,02;4.878,79;5.403,78;3.001,40
02-Jan;CASA;688;724,53;976,1;1.147,27;678,05;940,68;1.223,06;858,39;1.237,22;975,66;657,19;978,93;1.345,20;931,87;965,61;726,6;855,64;1.157,38;972,88;759,9;931,37;442,8;406,65;332;355,76;385;423,06;281,55;374,6;22.732,94;4.213,95;5.235,02;4.878,79;5.403,78;3.001,40
03-Jan;CASA;685,79;721,65;971,92;1.144,66;676,17;937,48;1.217,23;855,72;1.234,20;969,12;655,59;974,46;1.341,82;926,46;960,46;723,73;852,56;1.153,03;970,01;760,31;927,69;441,05;405,17;330,03;354,74;383,13;420,48;279,12;372,29;22.646,07;4.200,18;5.213,75;4.858,79;5.387,32;2.986,02
04-Jan;CASA;682,67;717,25;969,29;1.140,43;671,68;935,02;1.211,51;852,4;1.230,62;966,1;652,73;971;1.336,18;922,4;955,25;721,24;848,52;1.149,91;964,83;760,96;923,98;439,68;403,43;327,8;352,94;380,76;418,99;278,59;371;22.557,16;4.181,32;5.195,65;4.837,55;5.369,44;2.973,19
05-Jan;CASA;683,73;713,03;967,97;1.145,08;666,97;934,66;1.213,07;853,77;1.228,75;968,45;650,21;965,11;1.342,89;917,19;952,14;719,45;842,43;1.143,44;961,51;762,1;923,64;437,61;403,13;326,47;348,37;427,83;417,08;277,71;369,01;22.562,76;4.176,77;5.198,70;4.827,53;5.352,57;3.007,19
06-Jan;CASA;681,16;708,97;965,05;1.145,30;664,76;933,23;1.213,56;851,34;1.227,91;968,1;647,89;962,99;1.338,35;915,8;948,77;718,04;843,9;1.142,87;962,46;759,76;920,6;439,86;402,72;324,53;347,15;428,29;416,56;277,04;368,88;22.525,83;4.165,23;5.194,13;4.813,81;5.347,63;3.005,03
07-Jan;CASA;680,35;710,41;963,06;1.142,72;661,71;932,1;1.215,63;852,67;1.227,33;965,04;644,99;961,76;1.334,18;914,2;946,67;716,4;840,98;1.143,31;958,46;758,23;917,67;438,58;402,14;324,68;345,63;426,05;415,79;275,99;368,29;22.485,00;4.158,25;5.192,76;4.801,80;5.335,05;2.997,15
08-Jan;CASA;681,25;708,43;964,53;1.143,12;661,27;932,21;1.212,86;852,66;1.226,00;965,93;646,37;962,71;1.333,51;912,57;946,28;723,12;843,99;1.141,27;959,34;756,64;915,83;438,94;401,61;325,72;343,76;428,23;414,56;274,7;366,93;22.484,32;4.158,60;5.189,66;4.801,44;5.340,19;2.994,44
09-Jan;CASA;682,88;718,19;968,17;1.149,26;665,64;934,08;1.218,81;862,39;1.229,27;970,41;647,8;960,5;1.338,83;915,03;946,04;729,65;844,74;1.143,31;960,28;764,76;917,26;440,18;403,41;326,13;345,11;427,01;416,61;273,85;368,4;22.567,97;4.184,13;5.214,96;4.808,20;5.359,99;3.000,70
10-Jan;CASA;679,25;717,27;965,06;1.143,69;665,28;930,32;1.214,37;859,42;1.226,74;965,23;646,75;956,61;1.335,35;909,69;944,5;725,99;841,79;1.136,39;958,17;763,03;913,37;438,83;401,62;323,79;342,86;424,9;414,47;271,65;366,38;22.482,77;4.170,55;5.196,07;4.792,91;5.338,73;2.984,51
11-Jan;CASA;677,89;710,83;961,86;1.142,50;663,43;927,36;1.210,31;856,28;1.223,75;961,79;643,6;953,37;1.329,21;906,81;940,72;724,03;839,63;1.131,16;956,42;761,15;909,87;437,2;400,19;322,22;342,22;423,15;412,93;270,39;365,78;22.406,03;4.156,50;5.179,49;4.773,71;5.322,25;2.974,08
12-Jan;CASA;676,74;707,58;962,86;1.144,04;662,05;930,4;1.209,16;852,74;1.226,48;962,9;643,56;957,8;1.330,13;907,04;944,83;723,92;836,39;1.130,77;954,38;755,04;909,89;437,28;401,28;321,89;342,01;425,89;412,89;273,52;365,72;22.409,20;4.153,27;5.181,69;4.783,36;5.310,39;2.980,49
13-Jan;CASA;677;705,04;959,07;1.139,01;655,04;931,51;1.211,02;854,44;1.224,09;962,44;641,02;956,14;1.325,30;905,01;943,06;724,02;832,7;1.129,08;950,13;751,02;907,93;436;400;322,25;343,27;424,01;412,01;264,53;364;22.245,47;4.135,25;5.119,99;4.590,04;5.811,03;3.589,17
14-Jan;CASA;679,89;709,25;957,45;1.139,23;655,32;927,21;1.213,94;853,81;1.224,81;963,59;643,19;955,1;1.324,97;904,72;941,96;722;835,24;1.129,73;948,11;751,78;909,53;434,75;401,14;325,02;343,08;424,01;412,02;265,72;365,33;22.280,63;4.141,75;5.104,76;4.603,45;5.828,21;3.602,47
15-Jan;CASA;679,58;713,15;959,01;1.142,60;659,42;932,35;1.212,56;852,58;1.228,15;963,51;640,72;952,00;1.324,33;903,87;941,38;722,29;837,74;1.131,43;949,80;749,20;909,56;434,56;402,44;326,28;342,35;423,23;412,60;;
16-Jan;CASA;674,1;708,07;952,94;1.137,66;655,86;928,01;1.205,92;849,18;1.220,16;960,3;638,43;948,21;1.314,90;897,99;935,53;716,06;833,3;1.125,55;942,87;745,88;902,42;432,96;399,71;325,09;339,34;420,18;410,96;;;;;;;;
17-Jan;CASA;671,68;705,29;948,72;1.133,73;652,71;929,38;1.201,89;851,13;1.217,06;955,29;640,65;947,47;1.316,61;895,28;937,07;714,29;831,27;1.121,69;943,12;744,69;899,74;431,13;396,62;323,05;338,46;420,46;408,67;;;;;;;;
18-Jan;CASA;668,56;704,12;944,70;1.129,78;650,02;926,80;1.196,96;848,75;1.214,15;952,29;637,88;943,57;1.310,93;894,02;931,70;712,05;828,31;1.114,97;938,71;742,94;895,21;429,94;394,93;321,27;336,35;418,86;407,72;;;;;;;;
19-Jan;CASA; 668,53 ; 700,42 ; 946,88 ; 1.129,98 ; 645,47 ; 928,79 ; 1.198,41 ; 846,62 ; 1.215,80 ; 952,23 ; 637,43 ; 948,36 ; 1.314,86 ; 897,05 ; 934,38 ; 710,70 ; 828,93 ; 1.113,13 ; 941,81 ; 744,22 ; 898,78 ; 430,94 ; 394,96 ; 323,12 ; 339,68 ; 419,34 ; 409,65 
20-Jan;CASA; 665,04 ; 695,59 ; 946,36 ; 1127,26 ; 642,23 ; 926,47 ; 1.194,27 ; 845,29 ; 1.210,73 ; 951,56 ; 633,53 ; 942,37 ; 1.303,89 ; 892,78 ; 933,22 ; 709,44 ; 826,53 ; 1.109,64 ; 934,79 ; 740,99 ; 895,91 ; 429,20 ; 395,76 ; 322,96 ; 339,36 ; 417,15 ; 405,12 
