UKER;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Martadinata;KC Bandung AA;KC Bandung Dewi Sartika;KC Bandung Dago
31-Dec; 691 ; 721 ; 989 ; 1.157 ; 687 ; 926 ; 1.232 ; 856 ; 1.236 ; 980 ; 668 ; 977 ; 1.351 ; 928 ; 974 ; 730 ; 851 ; 1.145 ; 969 ; 759 ; 927 ; 322 ; 896 ; 538 ; 526 ; 382 ; 350 ; 0,00 ; 0,00 ; 0,00 ;;
01-Jan; 691 ; 723 ; 987 ; 1.157 ; 687 ; 932 ; 1.235 ; 859 ; 1.239 ; 981 ; 666 ; 983 ; 1.354 ; 935 ; 976 ; 730 ; 855 ; 1.162 ; 976 ; 762 ; 934 ; 443 ; 407 ; 332 ; 356 ; 385 ; 423 ; 0,00 ; 281,00 ; 374,00 ; 
02-Jan; 688 ; 724 ; 976 ; 1.147 ; 678 ; 931 ; 1.223 ; 858 ; 1.237 ; 975 ; 657 ; 979 ; 1.344 ; 932 ; 966 ; 727 ; 853 ; 1.157 ; 971 ; 760 ; 929 ; 443 ; 407 ; 332 ; 356 ; 385 ; 423 ; 0,00 ; 281,00 ; 374,00 ;  
03-Jan; 686 ; 722 ; 972 ; 1.145 ; 676 ; 928 ; 1.217 ; 856 ; 1.234 ; 969 ; 656 ; 974 ; 1.341 ; 926 ; 960 ; 724 ; 851 ; 1.153 ; 968 ; 760 ; 926 ; 441 ; 405 ; 330 ; 355 ; 383 ; 420 ; 0,00 ; 278,00 ; 373,00 ; 
04-Jan; 683 ; 717 ; 969 ; 1.140 ; 672 ; 925 ; 1.211 ; 852 ; 1.231 ; 966 ; 653 ; 971 ; 1.336 ; 922 ; 955 ; 721 ; 847 ; 1.150 ; 963 ; 761 ; 922 ; 440 ; 403 ; 328 ; 353 ; 381 ; 419 ; 0,00 ; 278,00 ; 371,00 ; 
05-Jan; 684 ; 713 ; 968 ; 1.145 ; 667 ; 925 ; 1.213 ; 853 ; 1.229 ; 968 ; 650 ; 965 ; 1.342 ; 917 ; 952 ; 719 ; 841 ; 1.143 ; 959 ; 762 ; 922 ; 438 ; 403 ; 326 ; 348 ; 428 ; 417 ; 0,00 ; 277,00 ; 369,00 ; 
06-Jan; 681 ; 709 ; 965 ; 1.145 ; 665 ; 922 ; 1.214 ; 851 ; 1.228 ; 968 ; 648 ; 963 ; 1.338 ; 916 ; 949 ; 718 ; 843 ; 1.143 ; 960 ; 760 ; 919 ; 440 ; 403 ; 324 ; 347 ; 428 ; 417 ; 0,00 ; 277,00 ; 368,00 ;  
07-Jan; 680 ; 710 ; 963 ; 1.143 ; 662 ; 920 ; 1.216 ; 852 ; 1.227 ; 965 ; 645 ; 962 ; 1.334 ; 914 ; 947 ; 716 ; 840 ; 1.143 ; 956 ; 758 ; 916 ; 439 ; 402 ; 324 ; 345 ; 426 ; 416 ; 0,00 ; 276,00 ; 368,00 ; 
08-Jan; 681 ; 708 ; 964 ; 1.143 ; 661 ; 919 ; 1.213 ; 852 ; 1.226 ; 966 ; 646 ; 963 ; 1.333 ; 913 ; 946 ; 723 ; 843 ; 1.141 ; 957 ; 757 ; 914 ; 439 ; 402 ; 325 ; 344 ; 428 ; 415 ; 0,00 ; 274,00 ; 367,00 ; 
09-Jan; 683 ; 718 ; 968 ; 1.149 ; 666 ; 920 ; 1.219 ; 862 ; 1.229 ; 970 ; 648 ; 960 ; 1.338 ; 915 ; 946 ; 730 ; 844 ; 1.143 ; 958 ; 765 ; 915 ; 440 ; 403 ; 326 ; 345 ; 427 ; 417 ; 0,00 ; 273,00 ; 368,00 ;  
