UKER;;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
25-Apr;DPK; 559 ; 502 ; 626 ; 309 ; 373 ; 478 ; 382 ; 542 ; 529 ; 1633 ; 447 ; 677 ; 646 ; 309 ; 321 ; 418 ; 496 ; 1239 ; 685 ; 404 ; 490 ; 745 ; 1329 ; 1424 ; 692 ; 956 ; 1040 ; 1073 ; 849 ; 1760 
26-Apr;DPK; 556 ; 499 ; 626 ; 305 ; 370 ; 477 ; 381 ; 541 ; 532 ; 1636 ; 446 ; 678 ; 644 ; 307 ; 321 ; 418 ; 497 ; 1237 ; 683 ; 404 ; 488 ; 746 ; 1330 ; 1424 ; 693 ; 952 ; 1042 ; 1073 ; 849 ; 1761 
27-Apr;DPK; 557 ; 498 ; 611 ; 304 ; 384 ; 495 ; 381 ; 550 ; 545 ; 1605 ; 444 ; 672 ; 638 ; 308 ; 322 ; 405 ; 471 ; 1256 ; 683 ; 409 ; 488 ; 733 ; 1368 ; 1471 ; 702 ; 964 ; 1012 ; 1065 ; 872 ; 1741 
28-Apr;DPK; 564 ; 518 ; 626 ; 305 ; 383 ; 489 ; 376 ; 553 ; 571 ; 1614 ; 444 ; 668 ; 659 ; 305 ; 323 ; 404 ; 468 ; 1252 ; 671 ; 408 ; 486 ; 740 ; 1367 ; 1456 ; 700 ; 961 ; 1048 ; 1105 ; 861 ; 1738 
29-Apr;DPK; 570 ; 518 ; 619 ; 301 ; 378 ; 491 ; 374 ; 574 ; 573 ; 1741 ; 446 ; 678 ; 675 ; 308 ; 320 ; 404 ; 499 ; 1264 ; 668 ; 409 ; 490 ; 782 ; 1371 ; 1486 ; 702 ; 967 ; 1057 ; 1123 ; 869 ; 1738 
30-Apr;DPK; 581 ; 529 ; 623 ; 305 ; 367 ; 504 ; 383 ; 583 ; 584 ; 1738 ; 450 ; 665 ; 684 ; 309 ; 331 ; 437 ; 528 ; 1279 ; 707 ; 418 ; 506 ; 865 ; 1393 ; 1560 ; 723 ; 980 ; 1104 ; 1140 ; 910 ; 1742 
01-May;DPK; 577 ; 533 ; 642 ; 309 ; 369 ; 504 ; 381 ; 590 ; 576 ; 1753 ; 450 ; 671 ; 681 ; 315 ; 338 ; 443 ; 533 ; 1300 ; 701 ; 424 ; 507 ; 873 ; 1399 ; 1572 ; 724 ; 978 ; 1087 ; 1142 ; 901 ; 1802 
02-May;DPK; 572 ; 528 ; 641 ; 308 ; 368 ; 501 ; 379 ; 586 ; 576 ; 1749 ; 448 ; 671 ; 671 ; 313 ; 337 ; 438 ; 529 ; 1293 ; 696 ; 424 ; 508 ; 872 ; 1396 ; 1572 ; 717 ; 973 ; 1089 ; 1139 ; 892 ; 1798 
03-May;DPK; 570 ; 525 ; 641 ; 305 ; 366 ; 499 ; 376 ; 585 ; 575 ; 1747 ; 447 ; 672 ; 672 ; 311 ; 335 ; 435 ; 528 ; 1288 ; 697 ; 421 ; 505 ; 873 ; 1395 ; 1573 ; 716 ; 965 ; 1092 ; 1140 ; 892 ; 1795 
04-May;DPK; 567 ; 516 ; 627 ; 299 ; 377 ; 501 ; 372 ; 564 ; 565 ; 1.736 ; 449 ; 660 ; 858 ; 314 ; 336 ; 428 ; 511 ; 1.285 ; 688 ; 412 ; 490 ; 851 ; 1.325 ; 1.552 ; 713 ; 960 ; 1.051 ; 1.109 ; 860 ; 1.752 
05-May;DPK; 561 ; 512 ; 619 ; 297 ; 380 ; 495 ; 365 ; 558 ; 551 ; 1718 ; 440 ; 647 ; 695 ; 316 ; 335 ; 416 ; 516 ; 1279 ; 699 ; 415 ; 489 ; 836 ; 1323 ; 1487 ; 700 ; 952 ; 1054 ; 1117 ; 843 ; 1738 
06-May;DPK; 556 ; 512 ; 625 ; 299 ; 381 ; 485 ; 362 ; 550 ; 542 ; 1714 ; 441 ; 640 ; 685 ; 309 ; 342 ; 432 ; 470 ; 1280 ; 689 ; 413 ; 485 ; 832 ; 1316 ; 1475 ; 694 ; 930 ; 1033 ; 1095 ; 825 ; 1724 
07-May;DPK; 556 ; 509 ; 637 ; 298 ; 406 ; 485 ; 363 ; 552 ; 542 ; 1730 ; 442 ; 641 ; 683 ; 310 ; 333 ; 424 ; 473 ; 1266 ; 683 ; 406 ; 480 ; 821 ; 1310 ; 1441 ; 686 ; 927 ; 1046 ; 1096 ; 834 ; 1720 
08-May;DPK; 559 ; 507 ; 633 ; 304 ; 392 ; 484 ; 361 ; 555 ; 551 ; 1735 ; 445 ; 651 ; 689 ; 313 ; 337 ; 428 ; 504 ; 1267 ; 686 ; 405 ; 479 ; 794 ; 1313 ; 1441 ; 675 ; 935 ; 1162 ; 1116 ; 846 ; 1723 
09-May;DPK; 556 ; 506 ; 627 ; 297 ; 388 ; 482 ; 361 ; 553 ; 551 ; 1727 ; 445 ; 653 ; 683 ; 312 ; 336 ; 428 ; 501 ; 1265 ; 678 ; 402 ; 477 ; 795 ; 1311 ; 1440 ; 676 ; 930 ; 1165 ; 1114 ; 845 ; 1713 
10-May;DPK; 556 ; 505 ; 636 ; 298 ; 385 ; 482 ; 360 ; 552 ; 550 ; 1733 ; 446 ; 654 ; 684 ; 312 ; 341 ; 427 ; 502 ; 1261 ; 677 ; 402 ; 479 ; 795 ; 1311 ; 1440 ; 674 ; 925 ; 1165 ; 1114 ; 845 ; 1718 
