UKER;;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
11-Jan;TAB ; 286 ; 257 ; 437 ; 212 ; 220 ; 366 ; 242 ; 344 ; 342 ; 735 ; 265 ; 432 ; 491 ; 211 ; 210 ; 242 ; 329 ; 690 ; 404 ; 271 ; 248 ; 392 ; 723 ; 741 ; 371 ; 512 ; 375 ; 512 ; 340 ; 1.008 
12-Jan;TAB ; 283 ; 262 ; 437 ; 212 ; 221 ; 365 ; 238 ; 346 ; 333 ; 735 ; 265 ; 430 ; 487 ; 212 ; 207 ; 246 ; 328 ; 686 ; 394 ; 257 ; 248 ; 388 ; 724 ; 740 ; 373 ; 514 ; 372 ; 517 ; 335 ; 1.002 
13-Jan;TAB ; 281 ; 258 ; 434 ; 214 ; 222 ; 372 ; 236 ; 353 ; 331 ; 731 ; 265 ; 423 ; 487 ; 217 ; 206 ; 245 ; 327 ; 691 ; 397 ; 255 ; 246 ; 387 ; 728 ; 737 ; 372 ; 520 ; 373 ; 510 ; 337 ; 1.003 
14-Jan;TAB ; 280 ; 257 ; 427 ; 211 ; 222 ; 370 ; 233 ; 355 ; 332 ; 734 ; 260 ; 424 ; 485 ; 216 ; 205 ; 246 ; 327 ; 689 ; 398 ; 251 ; 244 ; 382 ; 726 ; 764 ; 371 ; 515 ; 374 ; 508 ; 331 ; 1.000 
15-Jan;TAB ; 283 ; 262 ; 430 ; 215 ; 219 ; 370 ; 232 ; 356 ; 334 ; 739 ; 262 ; 426 ; 482 ; 214 ; 214 ; 248 ; 324 ; 690 ; 371 ; 254 ; 245 ; 385 ; 729 ; 764 ; 382 ; 516 ; 375 ; 499 ; 320 ; 996 
16-Jan;TAB ; 281 ; 261 ; 427 ; 213 ; 218 ; 366 ; 232 ; 354 ; 332 ; 738 ; 263 ; 424 ; 480 ; 211 ; 214 ; 247 ; 323 ; 689 ; 370 ; 255 ; 244 ; 382 ; 725 ; 765 ; 379 ; 512 ; 375 ; 496 ; 318 ; 994 
17-Jan;TAB ; 280 ; 259 ; 424 ; 209 ; 218 ; 365 ; 231 ; 353 ; 333 ; 736 ; 260 ; 427 ; 479 ; 209 ; 213 ; 247 ; 323 ; 685 ; 369 ; 256 ; 244 ; 381 ; 724 ; 764 ; 378 ; 502 ; 375 ; 495 ; 319 ; 995 
18-Jan;TAB ; 278 ; 258 ; 422 ; 209 ; 216 ; 364 ; 231 ; 352 ; 333 ; 732 ; 259 ; 425 ; 478 ; 208 ; 211 ; 247 ; 322 ; 681 ; 369 ; 255 ; 242 ; 382 ; 724 ; 763 ; 377 ; 497 ; 373 ; 495 ; 317 ; 992
19-Jan;TAB ; 276 ; 254 ; 424 ; 201 ; 218 ; 360 ; 230 ; 345 ; 334 ; 728 ; 259 ; 421 ; 475 ; 206 ; 211 ; 247 ; 321 ; 680 ; 370 ; 264 ; 239 ; 378 ; 725 ; 764 ; 380 ; 505 ; 392 ; 487 ; 322 ; 962 
20-Jan;TAB ; 275 ; 253 ; 422 ; 201 ; 215 ; 357 ; 225 ; 335 ; 332 ; 734 ; 257 ; 416 ; 470 ; 205 ; 208 ; 243 ; 322 ; 675 ; 365 ; 260 ; 238 ; 377 ; 718 ; 791 ; 378 ; 508 ; 393 ; 491 ; 325 ; 969 
21-Jan;TAB ; 276 ; 253 ; 423 ; 207 ; 216 ; 356 ; 222 ; 334 ; 333 ; 734 ; 257 ; 414 ; 465 ; 205 ; 203 ; 243 ; 319 ; 672 ; 362 ; 260 ; 240 ; 375 ; 710 ; 784 ; 379 ; 507 ; 403 ; 487 ; 324 ; 967 
22-Jan;TAB ; 282 ; 256 ; 428 ; 209 ; 216 ; 356 ; 218 ; 336 ; 332 ; 732 ; 257 ; 413 ; 476 ; 213 ; 203 ; 242 ; 318 ; 678 ; 359 ; 259 ; 244 ; 378 ; 711 ; 772 ; 376 ; 511 ; 410 ; 489 ; 322 ; 969 
24-Jan;TAB ; 281 ; 255 ; 421 ; 207 ; 217 ; 359 ; 222 ; 333 ; 338 ; 731 ; 255 ; 421 ; 472 ; 208 ; 205 ; 249 ; 360 ; 688 ; 375 ; 267 ; 247 ; 383 ; 758 ; 779 ; 381 ; 511 ; 426 ; 506 ; 319 ; 987 
25-Jan;TAB ; 278 ; 253 ; 418 ; 203 ; 217 ; 357 ; 218 ; 330 ; 338 ; 729 ; 255 ; 420 ; 472 ; 206 ; 203 ; 249 ; 359 ; 684 ; 375 ; 264 ; 245 ; 382 ; 757 ; 780 ; 380 ; 505 ; 424 ; 505 ; 318 ; 984 
26-Jan;TAB ; 281 ; 252 ; 409 ; 216 ; 216 ; 361 ; 216 ; 328 ; 332 ; 727 ; 251 ; 420 ; 468 ; 207 ; 198 ; 249 ; 323 ; 699 ; 366 ; 265 ; 241 ; 378 ; 699 ; 775 ; 398 ; 521 ; 432 ; 507 ; 321 ; 985 
27-Jan;TAB ; 284 ; 251 ; 397 ; 207 ; 217 ; 360 ; 217 ; 337 ; 332 ; 732 ; 249 ; 417 ; 472 ; 208 ; 208 ; 243 ; 325 ; 700 ; 375 ; 265 ; 240 ; 386 ; 697 ; 813 ; 396 ; 571 ; 487 ; 528 ; 523 ; 971 
28-Jan;TAB ; 282 ; 249 ; 410 ; 211 ; 218 ; 360 ; 218 ; 330 ; 333 ; 739 ; 252 ; 411 ; 469 ; 209 ; 207 ; 249 ; 326 ; 697 ; 371 ; 260 ; 242 ; 386 ; 697 ; 846 ; 405 ; 585 ; 482 ; 534 ; 548 ; 982 
29-Jan;TAB ; 282 ; 273 ; 411 ; 219 ; 219 ; 360 ; 218 ; 326 ; 338 ; 738 ; 253 ; 442 ; 470 ; 210 ; 206 ; 250 ; 321 ; 697 ; 373 ; 262 ; 242 ; 414 ; 697 ; 848 ; 414 ; 596 ; 484 ; 558 ; 544 ; 991 
30-Jan;TAB ; 288 ; 277 ; 433 ; 226 ; 222 ; 370 ; 224 ; 394 ; 346 ; 826 ; 253 ; 441 ; 471 ; 208 ; 209 ; 263 ; 353 ; 756 ; 418 ; 283 ; 255 ; 459 ; 728 ; 920 ; 434 ; 607 ; 432 ; 649 ; 560 ; 1.090 
31-Jan;TAB ; 288 ; 287 ; 425 ; 232 ; 220 ; 375 ; 223 ; 399 ; 348 ; 829 ; 256 ; 448 ; 477 ; 209 ; 212 ; 264 ; 351 ; 759 ; 438 ; 286 ; 255 ; 465 ; 736 ; 919 ; 435 ; 612 ; 432 ; 647 ; 560 ; 1.087 
01-Feb;TAB ; 291 ; 279 ; 431 ; 217 ; 220 ; 378 ; 226 ; 404 ; 350 ; 831 ; 253 ; 450 ; 480 ; 212 ; 211 ; 255 ; 330 ; 721 ; 398 ; 288 ; 248 ; 456 ; 738 ; 882 ; 436 ; 607 ; 427 ; 604 ; 555 ; 1054 
02-Feb;TAB ; 291 ; 279 ; 431 ; 217 ; 220 ; 378 ; 226 ; 404 ; 350 ; 831 ; 253 ; 450 ; 480 ; 212 ; 211 ; 255 ; 330 ; 721 ; 398 ; 288 ; 248 ; 456 ; 738 ; 882 ; 436 ; 607 ; 427 ; 604 ; 555 ; 1054 
03-Feb;TAB ; 286 ; 277 ; 420 ; 213 ; 220 ; 376 ; 223 ; 408 ; 353 ; 827 ; 254 ; 450 ; 477 ; 221 ; 210 ; 254 ; 330 ; 720 ; 378 ; 280 ; 248 ; 433 ; 732 ; 882 ; 412 ; 611 ; 373 ; 573 ; 353 ; 1033 
04-Feb;TAB; 283 ; 275 ; 418 ; 215 ; 220 ; 374 ; 222 ; 405 ; 352 ; 829 ; 252 ; 450 ; 467 ; 221 ; 210 ; 251 ; 327 ; 717 ; 374 ; 280 ; 246 ; 416 ; 727 ; 887 ; 397 ; 588 ; 371 ; 548 ; 349 ; 1031 
05-Feb;TAB; 283 ; 275 ; 419 ; 209 ; 220 ; 369 ; 219 ; 410 ; 352 ; 825 ; 247 ; 449 ; 483 ; 213 ; 212 ; 249 ; 328 ; 712 ; 370 ; 275 ; 247 ; 420 ; 727 ; 887 ; 394 ; 582 ; 370 ; 553 ; 326 ; 1028 
06-Feb;TAB; 283 ; 274 ; 418 ; 207 ; 221 ; 374 ; 221 ; 337 ; 355 ; 860 ; 250 ; 446 ; 480 ; 212 ; 218 ; 251 ; 354 ; 710 ; 382 ; 272 ; 254 ; 427 ; 707 ; 930 ; 413 ; 579 ; 421 ; 565 ; 326 ; 1021 
07-Feb;TAB; 280 ; 272 ; 413 ; 199 ; 221 ; 372 ; 220 ; 336 ; 354 ; 856 ; 250 ; 447 ; 478 ; 210 ; 216 ; 251 ; 353 ; 704 ; 383 ; 272 ; 251 ; 426 ; 703 ; 925 ; 409 ; 575 ; 421 ; 562 ; 325 ; 1018 
08-Feb;TAB; 278 ; 271 ; 412 ; 198 ; 220 ; 369 ; 219 ; 333 ; 355 ; 855 ; 249 ; 448 ; 476 ; 210 ; 216 ; 251 ; 353 ; 697 ; 381 ; 272 ; 251 ; 423 ; 702 ; 924 ; 407 ; 571 ; 420 ; 560 ; 325 ; 1014 
09-Feb;TAB; 280 ; 254 ; 412 ; 195 ; 215 ; 367 ; 218 ; 334 ; 344 ; 860 ; 249 ; 447 ; 471 ; 208 ; 208 ; 252 ; 328 ; 696 ; 375 ; 267 ; 252 ; 384 ; 704 ; 863 ; 408 ; 568 ; 421 ; 558 ; 320 ; 1002 
10-Feb;TAB; 282 ; 256 ; 414 ; 200 ; 216 ; 371 ; 218 ; 340 ; 347 ; 879 ; 249 ; 446 ; 472 ; 205 ; 206 ; 248 ; 328 ; 697 ; 374 ; 271 ; 246 ; 384 ; 708 ; 868 ; 384 ; 565 ; 367 ; 524 ; 318 ; 992 
11-Feb;TAB; 282 ; 257 ; 429 ; 200 ; 217 ; 368 ; 219 ; 337 ; 341 ; 873 ; 250 ; 446 ; 470 ; 213 ; 205 ; 250 ; 328 ; 694 ; 372 ; 272 ; 246 ; 383 ; 706 ; 865 ; 383 ; 564 ; 365 ; 517 ; 317 ; 985 
12-Feb;TAB; 283 ; 262 ; 424 ; 200 ; 219 ; 365 ; 223 ; 342 ; 339 ; 858 ; 247 ; 445 ; 465 ; 211 ; 204 ; 255 ; 327 ; 691 ; 378 ; 271 ; 247 ; 380 ; 705 ; 873 ; 378 ; 561 ; 363 ; 517 ; 318 ; 981 
13-Feb;TAB; 287 ; 258 ; 422 ; 203 ; 227 ; 367 ; 222 ; 334 ; 341 ; 855 ; 251 ; 441 ; 467 ; 209 ; 209 ; 254 ; 358 ; 694 ; 379 ; 277 ; 252 ; 383 ; 708 ; 860 ; 396 ; 562 ; 375 ; 540 ; 320 ; 981 
14-Feb;TAB; 286 ; 256 ; 419 ; 199 ; 225 ; 365 ; 221 ; 334 ; 340 ; 853 ; 248 ; 443 ; 464 ; 210 ; 206 ; 254 ; 357 ; 690 ; 376 ; 278 ; 248 ; 382 ; 704 ; 858 ; 392 ; 555 ; 374 ; 537 ; 318 ; 978 
15-Feb;TAB; 284 ; 255 ; 418 ; 199 ; 223 ; 364 ; 220 ; 331 ; 339 ; 854 ; 248 ; 441 ; 465 ; 207 ; 208 ; 253 ; 357 ; 689 ; 375 ; 277 ; 247 ; 380 ; 702 ; 856 ; 391 ; 554 ; 373 ; 537 ; 317 ; 973 
16-Feb;TAB; 283 ; 256 ; 415 ; 201 ; 220 ; 362 ; 222 ; 329 ; 339 ; 849 ; 250 ; 444 ; 461 ; 205 ; 207 ; 250 ; 356 ; 685 ; 374 ; 277 ; 245 ; 375 ; 702 ; 854 ; 389 ; 548 ; 373 ; 536 ; 317 ; 967 
17-Feb;TAB; 281 ; 253 ; 413 ; 199 ; 221 ; 359 ; 220 ; 327 ; 339 ; 849 ; 248 ; 444 ; 455 ; 203 ; 206 ; 249 ; 355 ; 682 ; 372 ; 276 ; 244 ; 374 ; 698 ; 855 ; 388 ; 544 ; 374 ; 534 ; 314 ; 964 
