UKER;;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
29-Dec;DEPO; 92 ; 72 ; 116 ; 51 ; 63 ; 75 ; 50 ; 119 ; 133 ; 411 ; 144 ; 77 ; 152 ; 27 ; 48 ; 80 ; 70 ; 460 ; 157 ; 92 ; 58 ; 231 ; 314 ; 207 ; 245 ; 176 ; 550 ; 343 ; 165 ; 318 
30-Dec;DEPO; 92 ; 72 ; 116 ; 51 ; 63 ; 76 ; 50 ; 118 ; 132 ; 411 ; 144 ; 77 ; 152 ; 27 ; 48 ; 80 ; 70 ; 461 ; 157 ; 92 ; 58 ; 233 ; 313 ; 204 ; 244 ; 176 ; 551 ; 343 ; 165 ; 319 
31-Dec;DEPO; 300 ; 290 ; 456 ; 201 ; 241 ; 378 ; 253 ; 355 ; 336 ; 751 ; 281 ; 435 ; 487 ; 221 ; 220 ; 264 ; 327 ; 748 ; 434 ; 274 ; 261 ; 445 ; 773 ; 773 ; 426 ; 562 ; 375 ; 594 ; 539 ; 1.055 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UKER;;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
01-Jan;DEPO; 91 ; 72 ; 115 ; 51 ; 64 ; 76 ; 50 ; 116 ; 132 ; 411 ; 144 ; 78 ; 152 ; 32 ; 49 ; 80 ; 72 ; 454 ; 156 ; 92 ; 58 ; 234 ; 314 ; 205 ; 240 ; 177 ; 551 ; 343 ; 162 ; 319 
02-Jan;DEPO; 91 ; 72 ; 115 ; 51 ; 64 ; 76 ; 50 ; 116 ; 132 ; 411 ; 144 ; 78 ; 152 ; 32 ; 49 ; 80 ; 72 ; 454 ; 156 ; 92 ; 58 ; 234 ; 314 ; 205 ; 240 ; 177 ; 551 ; 343 ; 162 ; 319 
03-Jan;DEPO; 91 ; 72 ; 115 ; 51 ; 64 ; 76 ; 50 ; 116 ; 132 ; 411 ; 144 ; 79 ; 152 ; 32 ; 49 ; 80 ; 72 ; 454 ; 156 ; 92 ; 58 ; 234 ; 314 ; 205 ; 240 ; 177 ; 551 ; 344 ; 162 ; 320 
04-Jan;DEPO; 91 ; 72 ; 115 ; 50 ; 64 ; 76 ; 50 ; 116 ; 132 ; 411 ; 144 ; 79 ; 152 ; 32 ; 49 ; 80 ; 72 ; 453 ; 156 ; 92 ; 57 ; 234 ; 314 ; 205 ; 240 ; 177 ; 551 ; 343 ; 162 ; 319 
05-Jan;DEPO; 91 ; 72 ; 115 ; 50 ; 64 ; 75 ; 49 ; 117 ; 132 ; 411 ; 144 ; 77 ; 152 ; 31 ; 50 ; 80 ; 73 ; 453 ; 155 ; 92 ; 57 ; 234 ; 314 ; 205 ; 240 ; 177 ; 543 ; 342 ; 162 ; 319 
06-Jan;DEPO; 93 ; 72 ; 114 ; 51 ; 70 ; 75 ; 48 ; 117 ; 132 ; 412 ; 144 ; 76 ; 152 ; 31 ; 50 ; 80 ; 73 ; 450 ; 154 ; 92 ; 57 ; 234 ; 315 ; 310 ; 240 ; 176 ; 544 ; 346 ; 161 ; 316 
07-Jan;DEPO; 93 ; 72 ; 114 ; 51 ; 70 ; 75 ; 49 ; 117 ; 131 ; 412 ; 143 ; 76 ; 152 ; 31 ; 50 ; 80 ; 72 ; 480 ; 155 ; 76 ; 56 ; 235 ; 315 ; 310 ; 240 ; 176 ; 544 ; 346 ; 161 ; 310 
08-Jan;DEPO; 92 ; 72 ; 114 ; 51 ; 70 ; 75 ; 48 ; 117 ; 131 ; 412 ; 143 ; 75 ; 152 ; 31 ; 50 ; 80 ; 72 ; 480 ; 155 ; 76 ; 56 ; 235 ; 315 ; 311 ; 240 ; 176 ; 531 ; 345 ; 162 ; 311 
09-Jan;DEPO; 92 ; 72 ; 114 ; 51 ; 70 ; 75 ; 48 ; 117 ; 131 ; 412 ; 143 ; 75 ; 151 ; 32 ; 50 ; 80 ; 73 ; 479 ; 155 ; 76 ; 56 ; 235 ; 315 ; 312 ; 239 ; 176 ; 521 ; 345 ; 161 ; 332 
10-Jan;DEPO; 92 ; 72 ; 114 ; 51 ; 70 ; 75 ; 48 ; 117 ; 131 ; 412 ; 143 ; 76 ; 151 ; 32 ; 50 ; 80 ; 73 ; 479 ; 155 ; 76 ; 56 ; 235 ; 315 ; 312 ; 239 ; 176 ; 521 ; 344 ; 162 ; 332 
11-Jan;DEPO; 92 ; 72 ; 114 ; 51 ; 70 ; 75 ; 48 ; 117 ; 131 ; 412 ; 143 ; 75 ; 151 ; 32 ; 50 ; 80 ; 72 ; 479 ; 155 ; 76 ; 56 ; 235 ; 315 ; 312 ; 238 ; 176 ; 521 ; 344 ; 161 ; 332 
12-Jan;DEPO; 92 ; 72 ; 114 ; 51 ; 70 ; 75 ; 48 ; 117 ; 131 ; 411 ; 143 ; 75 ; 151 ; 32 ; 50 ; 80 ; 73 ; 479 ; 155 ; 92 ; 56 ; 235 ; 316 ; 336 ; 239 ; 177 ; 521 ; 345 ; 161 ; 332 
