UKER;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
27-Jan;GIRO; 178 ; 105 ; 94 ; 33 ; 69 ; 71 ; 96 ; 100 ; 59 ; 264 ; 48 ; 107 ; 117 ; 74 ; 61 ; 91 ; 90 ; 155 ; 64 ; 74 ; 22 ; 184 ; 176 ; 3.104 ; 109 ; 300 ; 99 ; 215 ; 122 ; 4.848 
28-Jan;GIRO; 178 ; 106 ; 94 ; 33 ; 70 ; 71 ; 96 ; 100 ; 59 ; 265 ; 48 ; 107 ; 117 ; 74 ; 62 ; 91 ; 90 ; 154 ; 63 ; 75 ; 22 ; 183 ; 176 ; 3.126 ; 109 ; 299 ; 98 ; 215 ; 122 ; 4.846 
29-Jan;GIRO; 178 ; 108 ; 94 ; 33 ; 70 ; 72 ; 96 ; 99 ; 59 ; 267 ; 49 ; 109 ; 116 ; 74 ; 61 ; 90 ; 90 ; 152 ; 63 ; 75 ; 22 ; 183 ; 177 ; 3.147 ; 109 ; 298 ; 98 ; 215 ; 122 ; 4.859 
30-Jan;GIRO; 179 ; 109 ; 95 ; 33 ; 71 ; 72 ; 96 ; 99 ; 59 ; 268 ; 49 ; 110 ; 116 ; 74 ; 61 ; 90 ; 90 ; 152 ; 63 ; 75 ; 21 ; 182 ; 179 ; 3.152 ; 109 ; 299 ; 98 ; 215 ; 122 ; 4.832 
31-Jan;GIRO; 179 ; 109 ; 95 ; 33 ; 71 ; 72 ; 96 ; 99 ; 59 ; 268 ; 49 ; 110 ; 116 ; 74 ; 61 ; 90 ; 90 ; 152 ; 63 ; 75 ; 21 ; 182 ; 179 ; 3.152 ; 109 ; 299 ; 98 ; 215 ; 122 ; 4.832 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01-Feb;GIRO; 179 ; 109 ; 95 ; 33 ; 71 ; 72 ; 96 ; 99 ; 59 ; 268 ; 49 ; 110 ; 116 ; 74 ; 61 ; 90 ; 90 ; 152 ; 63 ; 75 ; 21 ; 182 ; 179 ; 3.152 ; 109 ; 299 ; 98 ; 215 ; 122 ; 4.832 
02-Feb;GIRO; 179 ; 109 ; 95 ; 33 ; 71 ; 72 ; 96 ; 99 ; 59 ; 268 ; 49 ; 110 ; 116 ; 74 ; 61 ; 90 ; 90 ; 152 ; 63 ; 75 ; 21 ; 182 ; 179 ; 3.152 ; 109 ; 299 ; 98 ; 215 ; 122 ; 4.832 
03-Feb;GIRO; 179 ; 109 ; 95 ; 33 ; 71 ; 72 ; 96 ; 99 ; 59 ; 268 ; 49 ; 110 ; 116 ; 74 ; 61 ; 90 ; 90 ; 152 ; 63 ; 75 ; 21 ; 182 ; 179 ; 3.152 ; 109 ; 299 ; 98 ; 215 ; 122 ; 4.832 
04-Feb;GIRO; 179 ; 109 ; 95 ; 33 ; 71 ; 72 ; 96 ; 99 ; 59 ; 268 ; 49 ; 110 ; 116 ; 74 ; 61 ; 90 ; 90 ; 152 ; 63 ; 75 ; 21 ; 182 ; 179 ; 3.152 ; 109 ; 299 ; 98 ; 215 ; 122 ; 4.832 
