NAMA UKER;KCP Telkom Bandung;KCP Batununggal;KCP Cicurug;KCP Summarecon Bandung;KCP Taman Kopo Indah;KCP Otto Iskandardinata;KCP Cijerah;KCP Cipanas;KCP Weru;KCP Cimindi;KCP ITB;KCP Taman Kopo Indah II;KCP BRI Jatinangor;KCP Ciledug Cirebon;KCP Suci;KCP Trade Center;KCP Riau;KCP Banjaran;KCP Patrol;KCP Pangandaran;KCP Surade;KCP Cikajang;KCP Pelabuhan Ratu;KCP Sumber;KCP Sumber Sari;KCP Ciranjang;KCP Antapani;KCP Rancaekek;KCP Setrasari;KCP Lembang;KCP Ciawi Tasikmalaya;KCP Rajawali Bandung;KCP Sukanagara;KCP Padalarang
10-Feb; 106,27 ; 28,22 ; 15,62 ; 43,59 ; 3,28 ; 9,53 ; 4,63 ; 6,76 ; 29,73 ; 15,32 ; 62,54 ; 5,89 ; 9,65 ; 5,40 ; 14,88 ; 9,82 ; 15,69 ; 9,79 ; 4,94 ; 2,83 ; 2,32 ; 5,07 ; 26,45 ; 3,91 ; 9,98 ; 1,92 ; 6,98 ; 2,64 ; 17,18 ; 8,26 ; 5,32 ; 13,53 ; 1,04 ; 9,33 
11-Feb; 105,78 ; 29,18 ; 15,84 ; 40,64 ; 3,28 ; 9,80 ; 4,39 ; 6,84 ; 31,48 ; 15,42 ; 62,03 ; 7,35 ; 9,95 ; 5,28 ; 15,13 ; 10,22 ; 14,35 ; 9,74 ; 5,24 ; 2,93 ; 2,06 ; 5,67 ; 26,37 ; 3,60 ; 8,90 ; 1,89 ; 7,87 ; 2,49 ; 18,33 ; 8,29 ; 5,28 ; 12,02 ; 1,12 ; 10,03 
12-Feb; 105,71 ; 29,10 ; 16,71 ; 41,60 ; 5,80 ; 9,66 ; 4,56 ; 6,98 ; 33,12 ; 15,46 ; 61,70 ; 8,04 ; 10,52 ; 5,15 ; 15,04 ; 13,53 ; 14,02 ; 10,12 ; 5,27 ; 3,13 ; 1,94 ; 6,69 ; 22,11 ; 3,57 ; 9,50 ; 2,50 ; 7,51 ; 2,28 ; 17,42 ; 8,69 ; 4,95 ; 10,46 ; 1,22 ; 9,93 
13-Feb; 105,86 ; 27,76 ; 18,68 ; 40,06 ; 8,18 ; 9,78 ; 4,74 ; 8,11 ; 33,05 ; 12,50 ; 61,13 ; 6,29 ; 11,28 ; 6,15 ; 15,34 ; 13,74 ; 12,27 ; 9,73 ; 5,40 ; 2,84 ; 1,94 ; 6,61 ; 22,85 ; 2,57 ; 8,29 ; 2,42 ; 7,15 ; 2,38 ; 18,36 ; 8,15 ; 4,91 ; 11,27 ; 1,11 ; 8,65 
14-Feb; 105,82 ; 28,60 ; 18,93 ; 40,19 ; 8,26 ; 9,98 ; 4,79 ; 8,03 ; 33,16 ; 12,46 ; 61,13 ; 6,44 ; 9,25 ; 5,33 ; 15,30 ; 11,62 ; 12,93 ; 9,75 ; 5,43 ; 2,91 ; 2,19 ; 6,21 ; 23,04 ; 2,60 ; 8,95 ; 2,68 ; 7,14 ; 2,60 ; 17,98 ; 8,05 ; 5,01 ; 11,75 ; 1,26 ; 8,30 
15-Feb; 106,08 ; 28,68 ; 19,11 ; 40,45 ; 8,27 ; 10,03 ; 4,83 ; 8,02 ; 32,88 ; 12,40 ; 61,09 ; 6,47 ; 10,97 ; 5,68 ; 15,51 ; 10,29 ; 13,33 ; 9,74 ; 5,59 ; 2,85 ; 1,57 ; 6,25 ; 23,14 ; 2,62 ; 9,09 ; 2,55 ; 7,16 ; 2,48 ; 17,56 ; 8,05 ; 5,02 ; 12,48 ; 1,38 ; 8,37 
16-Feb; 105,87 ; 30,36 ; 19,42 ; 41,58 ; 8,18 ; 9,58 ; 5,02 ; 7,97 ; 32,44 ; 12,33 ; 61,17 ; 6,72 ; 10,60 ; 5,12 ; 16,28 ; 9,74 ; 14,24 ; 9,72 ; 5,42 ; 2,90 ; 2,02 ; 6,58 ; 23,21 ; 2,92 ; 10,54 ; 2,40 ; 7,14 ; 2,60 ; 17,47 ; 8,34 ; 5,08 ; 12,91 ; 1,54 ; 7,76 
17-Feb; 105,92 ; 30,72 ; 19,52 ; 42,61 ; 8,29 ; 9,78 ; 5,22 ; 9,04 ; 33,08 ; 12,30 ; 60,74 ; 6,98 ; 13,29 ; 5,54 ; 16,28 ; 9,20 ; 14,25 ; 9,92 ; 6,25 ; 2,75 ; 1,97 ; 6,70 ; 23,43 ; 2,88 ; 9,76 ; 2,55 ; 6,34 ; 2,77 ; 17,55 ; 8,50 ; 4,85 ; 13,55 ; 1,54 ; 7,93 
19-Feb; 126,75 ; 31,67 ; 24,45 ; 42,16 ; 12,73 ; 9,89 ; 5,17 ; 8,53 ; 30,49 ; 12,40 ; 61,71 ; 6,74 ; 12,28 ; 5,23 ; 15,16 ; 8,98 ; 21,39 ; 8,83 ; 6,74 ; 2,89 ; 1,32 ; 8,40 ; 23,59 ; 2,85 ; 6,49 ; 2,90 ; 6,49 ; 2,98 ; 16,95 ; 7,84 ; 4,74 ; 13,18 ; 1,04 ; 9,40 
20-Feb; 106,20 ; 29,65 ; 28,15 ; 41,25 ; 12,57 ; 10,07 ; 4,68 ; 7,84 ; 30,39 ; 12,21 ; 62,55 ; 6,05 ; 11,51 ; 5,37 ; 15,57 ; 11,28 ; 13,77 ; 9,79 ; 6,08 ; 2,60 ; 1,28 ; 7,51 ; 23,11 ; 2,65 ; 6,46 ; 2,97 ; 6,55 ; 2,60 ; 17,01 ; 8,85 ; 4,42 ; 12,06 ; 1,05 ; 9,23 
