NAMA UKER;KCP Telkom Bandung;KCP Batununggal;KCP Cicurug;KCP Buah Batu;KCP Kopo Indah;KCP Otto Iskandardinata;KCP Cijerah;KCP Cipanas;KCP Weru;KCP Cimindi;KCP ITB;KCP Taman Kopo Indah II;KCP Jatinangor;KCP Ciledug Cirebon;KCP Suci;KCP Trade Center;KCP Riau;KCP Banjaran;KCP Patrol;KCP Pangandaran;KCP Surade;KCP Cikajang;KCP Pelabuhan Ratu;KCP Sumber;KCP Sumber Sari;KCP Ciranjang;KCP Antapani;KCP Rancaekek;KCP Setrasari;KCP Lembang;KCP Ciawi Tasikmalaya;KCP Rajawali Bandung;KCP Sukanagara;KCP Padalarang
24-Dec; 12,98 ; 48,99 ; 8,10 ; 37,41 ; 14,85 ; 17,39 ; 36,51 ; 55,76 ; 17,61 ; 10,58 ; 85,28 ; 18,11 ; 17,63 ; 14,70 ; 43,74 ; 19,87 ; 35,78 ; 11,26 ; 5,05 ; 12,00 ; 8,88 ; 9,29 ; 8,54 ; 16,75 ; 8,14 ; 2,54 ; 12,73 ; 8,08 ; 41,62 ; 26,99 ; 3,58 ; 37,12 ; 1,85 ; 17,53 
25-Dec; 12,98 ; 49,03 ; 8,07 ; 37,42 ; 14,85 ; 17,40 ; 36,51 ; 55,76 ; 17,61 ; 10,58 ; 85,27 ; 18,17 ; 17,63 ; 14,69 ; 43,74 ; 19,87 ; 35,79 ; 11,26 ; 5,05 ; 12,00 ; 8,88 ; 9,29 ; 8,54 ; 16,75 ; 8,13 ; 2,54 ; 12,73 ; 8,08 ; 41,62 ; 26,99 ; 3,58 ; 37,12 ; 1,85 ; 17,53 
26-Dec; 12,98 ; 49,03 ; 8,07 ; 37,42 ; 14,85 ; 17,35 ; 36,51 ; 55,76 ; 17,61 ; 10,58 ; 85,31 ; 18,17 ; 17,63 ; 14,69 ; 43,79 ; 19,87 ; 35,79 ; 11,26 ; 5,05 ; 12,00 ; 8,79 ; 9,29 ; 8,54 ; 16,74 ; 8,12 ; 2,54 ; 12,73 ; 8,08 ; 41,52 ; 26,99 ; 3,58 ; 37,12 ; 1,85 ; 17,53 
27-Dec; 12,98 ; 49,04 ; 8,07 ; 37,42 ; 14,85 ; 17,35 ; 36,51 ; 55,76 ; 17,61 ; 10,58 ; 85,29 ; 18,17 ; 17,63 ; 14,69 ; 43,79 ; 19,87 ; 35,79 ; 11,26 ; 5,05 ; 12,00 ; 8,79 ; 9,29 ; 8,54 ; 16,74 ; 7,82 ; 2,54 ; 12,73 ; 8,08 ; 41,52 ; 26,99 ; 3,58 ; 37,12 ; 1,85 ; 17,53 
28-Dec; 12,93 ; 48,98 ; 8,08 ; 37,42 ; 14,85 ; 17,35 ; 36,61 ; 55,76 ; 17,61 ; 10,58 ; 85,24 ; 18,17 ; 17,63 ; 14,69 ; 43,79 ; 19,87 ; 35,78 ; 11,26 ; 5,05 ; 12,00 ; 8,29 ; 9,29 ; 8,54 ; 16,72 ; 7,62 ; 2,54 ; 12,73 ; 8,08 ; 41,52 ; 26,99 ; 3,58 ; 37,12 ; 1,85 ; 17,53 
29-Dec; 12,93 ; 48,96 ; 8,08 ; 37,52 ; 14,85 ; 17,35 ; 35,65 ; 55,76 ; 17,51 ; 13,38 ; 85,24 ; 18,17 ; 17,48 ; 14,69 ; 43,79 ; 19,87 ; 35,68 ; 11,26 ; 5,06 ; 12,00 ; 8,29 ; 9,29 ; 8,54 ; 16,72 ; 7,31 ; 2,54 ; 12,68 ; 8,08 ; 41,43 ; 26,96 ; 3,58 ; 28,27 ; 0,85 ; 17,53 
30-Dec; 12,93 ; 48,96 ; 8,11 ; 37,49 ; 14,85 ; 17,35 ; 35,61 ; 55,76 ; 17,51 ; 13,38 ; 85,24 ; 18,12 ; 17,48 ; 14,69 ; 43,79 ; 19,87 ; 35,67 ; 11,26 ; 5,06 ; 12,00 ; 8,29 ; 9,29 ; 8,55 ; 16,72 ; 7,81 ; 2,54 ; 12,68 ; 8,08 ; 40,43 ; 26,96 ; 3,58 ; 28,27 ; 0,86 ; 18,73 
31-Dec; 12,93 ; 48,96 ; 8,11 ; 37,49 ; 14,85 ; 17,35 ; 35,61 ; 55,74 ; 17,51 ; 13,38 ; 85,25 ; 18,12 ; 17,68 ; 14,69 ; 43,80 ; 19,87 ; 35,87 ; 11,26 ; 5,06 ; 12,00 ; 8,29 ; 9,29 ; 8,56 ; 16,82 ; 7,81 ; 2,54 ; 12,68 ; 8,08 ; 40,38 ; 26,96 ; 3,58 ; 28,26 ; 0,86 ; 17,33 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01-Jan; 13,16 ; 48,93 ; 8,11 ; 37,49 ; 14,84 ; 17,35 ; 35,61 ; 55,74 ; 17,51 ; 13,38 ; 85,30 ; 18,12 ; 17,68 ; 14,69 ; 43,79 ; 19,88 ; 35,87 ; 11,26 ; 5,06 ; 12,00 ; 8,29 ; 9,09 ; 8,56 ; 16,82 ; 7,71 ; 2,54 ; 12,68 ; 8,08 ; 40,28 ; 27,01 ; 3,58 ; 28,26 ; 0,86 ; 17,33 
02-Jan; 13,21 ; 48,92 ; 8,11 ; 37,39 ; 14,84 ; 17,39 ; 35,61 ; 55,75 ; 17,50 ; 13,38 ; 85,29 ; 18,12 ; 17,69 ; 14,69 ; 44,01 ; 19,88 ; 35,87 ; 11,26 ; 5,07 ; 12,00 ; 8,29 ; 9,09 ; 8,56 ; 16,81 ; 7,92 ; 2,54 ; 12,99 ; 8,08 ; 40,41 ; 27,01 ; 3,55 ; 28,27 ; 0,86 ; 17,08 
03-Jan; 13,21 ; 48,87 ; 8,11 ; 37,39 ; 14,84 ; 17,39 ; 35,61 ; 55,75 ; 17,50 ; 13,38 ; 85,37 ; 18,12 ; 17,69 ; 14,69 ; 43,99 ; 19,88 ; 35,87 ; 11,26 ; 5,08 ; 12,00 ; 8,29 ; 9,09 ; 8,56 ; 16,81 ; 7,92 ; 2,54 ; 12,99 ; 8,08 ; 40,41 ; 27,01 ; 3,55 ; 28,27 ; 0,86 ; 17,13 
04-Jan; 13,22 ; 48,92 ; 8,11 ; 37,39 ; 14,84 ; 17,40 ; 35,62 ; 55,75 ; 17,50 ; 13,38 ; 85,36 ; 18,12 ; 17,69 ; 14,69 ; 44,01 ; 19,88 ; 35,87 ; 11,26 ; 5,08 ; 12,00 ; 8,29 ; 9,09 ; 8,56 ; 16,77 ; 7,92 ; 2,54 ; 12,96 ; 8,08 ; 40,41 ; 27,01 ; 3,51 ; 28,27 ; 0,86 ; 17,13 
05-Jan; 13,21 ; 48,92 ; 8,11 ; 37,14 ; 14,91 ; 17,40 ; 35,48 ; 55,75 ; 17,50 ; 13,38 ; 85,58 ; 18,12 ; 17,68 ; 14,59 ; 44,00 ; 19,86 ; 35,86 ; 11,26 ; 5,08 ; 12,00 ; 8,29 ; 9,29 ; 8,06 ; 16,61 ; 7,92 ; 2,54 ; 13,04 ; 7,98 ; 40,32 ; 27,01 ; 3,51 ; 28,37 ; 0,86 ; 17,13 
06-Jan; 13,21 ; 48,95 ; 8,12 ; 37,14 ; 14,91 ; 34,40 ; 35,48 ; 55,61 ; 17,50 ; 13,38 ; 85,58 ; 19,12 ; 17,68 ; 14,60 ; 44,00 ; 19,86 ; 35,86 ; 11,26 ; 4,08 ; 11,98 ; 8,19 ; 9,29 ; 7,96 ; 16,58 ; 8,00 ; 2,54 ; 13,04 ; 7,98 ; 40,32 ; 27,01 ; 3,55 ; 28,07 ; 0,85 ; 17,13 
07-Jan; 13,21 ; 48,93 ; 8,12 ; 37,29 ; 14,91 ; 34,40 ; 35,48 ; 55,61 ; 17,49 ; 13,38 ; 85,56 ; 19,12 ; 17,68 ; 14,60 ; 44,06 ; 19,86 ; 35,87 ; 11,34 ; 4,08 ; 11,98 ; 8,21 ; 9,29 ; 7,96 ; 16,53 ; 8,00 ; 2,54 ; 12,93 ; 8,01 ; 40,33 ; 27,01 ; 3,55 ; 28,13 ; 0,85 ; 18,31 
08-Jan; 13,21 ; 48,88 ; 8,10 ; 37,25 ; 15,06 ; 34,40 ; 35,48 ; 55,61 ; 17,39 ; 13,33 ; 85,52 ; 19,18 ; 17,68 ; 14,54 ; 44,06 ; 19,86 ; 35,90 ; 11,34 ; 4,08 ; 11,98 ; 8,21 ; 9,29 ; 7,93 ; 16,53 ; 8,00 ; 2,54 ; 12,95 ; 8,01 ; 40,44 ; 27,01 ; 3,55 ; 28,13 ; 0,85 ; 18,31 
09-Jan; 13,21 ; 48,98 ; 8,10 ; 37,17 ; 15,01 ; 34,40 ; 35,45 ; 55,61 ; 17,39 ; 13,28 ; 85,56 ; 18,75 ; 17,60 ; 14,54 ; 44,06 ; 19,86 ; 35,91 ; 11,34 ; 4,08 ; 11,96 ; 8,21 ; 9,29 ; 7,93 ; 16,52 ; 8,01 ; 2,53 ; 12,95 ; 8,00 ; 40,44 ; 26,91 ; 3,55 ; 28,13 ; 0,86 ; 18,34 
10-Jan; 13,21 ; 49,01 ; 8,10 ; 37,17 ; 15,01 ; 34,40 ; 35,45 ; 55,61 ; 17,39 ; 13,28 ; 85,56 ; 18,69 ; 17,60 ; 14,44 ; 44,06 ; 19,86 ; 35,92 ; 11,34 ; 4,08 ; 11,96 ; 8,21 ; 9,29 ; 7,93 ; 16,52 ; 8,01 ; 2,56 ; 12,95 ; 8,00 ; 40,45 ; 26,91 ; 3,55 ; 28,13 ; 0,86 ; 18,34 
11-Jan; 13,21 ; 48,98 ; 8,10 ; 37,15 ; 15,01 ; 34,40 ; 35,45 ; 55,61 ; 17,39 ; 13,28 ; 85,56 ; 18,69 ; 17,60 ; 14,49 ; 44,06 ; 19,86 ; 35,88 ; 11,34 ; 4,08 ; 11,96 ; 8,21 ; 9,29 ; 7,96 ; 16,52 ; 8,01 ; 2,56 ; 12,95 ; 8,00 ; 40,45 ; 26,91 ; 3,55 ; 28,13 ; 0,86 ; 18,34 
12-Jan; 13,21 ; 49,00 ; 8,10 ; 37,38 ; 14,95 ; 34,40 ; 35,56 ; 55,62 ; 17,19 ; 13,34 ; 85,56 ; 18,67 ; 17,60 ; 14,49 ; 44,08 ; 19,86 ; 35,88 ; 11,34 ; 4,08 ; 11,96 ; 8,21 ; 9,29 ; 7,96 ; 16,52 ; 8,02 ; 2,56 ; 12,95 ; 8,03 ; 40,35 ; 26,91 ; 3,55 ; 28,19 ; 0,86 ; 18,28 
13-Jan; 13,21 ; 49,00 ; 8,10 ; 37,38 ; 14,95 ; 34,40 ; 35,56 ; 55,62 ; 17,19 ; 13,34 ; 85,56 ; 18,70 ; 17,67 ; 14,54 ; 44,10 ; 19,86 ; 35,88 ; 11,34 ; 4,08 ; 11,86 ; 8,21 ; 9,25 ; 8,06 ; 16,67 ; 8,17 ; 2,56 ; 13,05 ; 7,93 ; 38,37 ; 26,90 ; 3,55 ; 28,19 ; 0,86 ; 18,28 
14-Jan; 13,21 ; 49,10 ; 8,10 ; 36,88 ; 14,95 ; 34,40 ; 35,65 ; 55,62 ; 17,19 ; 13,34 ; 85,56 ; 18,73 ; 17,67 ; 14,54 ; 44,10 ; 19,88 ; 35,88 ; 11,33 ; 4,09 ; 11,86 ; 8,21 ; 9,25 ; 7,06 ; 16,67 ; 8,36 ; 2,56 ; 13,05 ; 8,03 ; 38,37 ; 26,85 ; 3,55 ; 28,19 ; 0,86 ; 18,28
15-Jan; 13,21 ; 49,10 ; 8,10 ; 36,88 ; 15,04 ; 34,40 ; 35,65 ; 55,62 ; 17,19 ; 13,34 ; 85,56 ; 18,73 ; 17,67 ; 14,54 ; 44,11 ; 19,89 ; 35,88 ; 11,33 ; 4,09 ; 11,94 ; 8,21 ; 9,25 ; 7,06 ; 16,67 ; 8,36 ; 2,56 ; 13 ; 8,04 ; 38,63 ; 26,85 ; 3,55 ; 28,39 ; 0,86 ; 18,28
16-Jan; 13,21 ; 48,70 ; 8,10 ; 36,88 ; 15,04 ; 34,40 ; 35,35 ; 55,62 ; 17,19 ; 13,34 ; 84,86 ; 18,73 ; 17,67 ; 14,54 ; 44,11 ; 19,89 ; 35,88 ; 11,33 ; 4,09 ; 11,94 ; 8,21 ; 9,35 ; 7,06 ; 16,67 ; 8,36 ; 2,53 ; 13 ; 8,04 ; 38,67 ; 26,85 ; 3,55 ; 28,39 ; 0,86 ; 18,27
17-Jan; 13,21 ; 48,70 ; 8,10 ; 36,88 ; 15,04 ; 34,40 ; 35,39 ; 55,62 ; 17,20 ; 13,34 ; 84,86 ; 18,73 ; 17,81 ; 14,54 ; 44,10 ; 19,89 ; 35,87 ; 11,33 ; 4,09 ; 11,94 ; 8,21 ; 9,35 ; 7,07 ; 16,67 ; 8,36 ; 2,53 ; 13 ; 8,04 ; 38,67 ; 26,90 ; 3,55 ; 28,39 ; 0,86 ; 18,28
18-Jan; 13,23 ; 48,70 ; 8,10 ; 36,88 ; 15,04 ; 34,40 ; 35,39 ; 55,62 ; 17,12 ; 13,23 ; 84,86 ; 18,73 ; 17,81 ; 14,54 ; 44,10 ; 19,89 ; 35,87 ; 11,33 ; 4,09 ; 11,94 ; 8,21 ; 9,35 ; 7,01 ; 16,67 ; 8,36 ; 2,53 ; 13 ; 8,02 ; 38,67 ; 26,85 ; 3,55 ; 28,39 ; 0,86 ; 18,26
19-Jan; 13,23 ; 48,60 ; 8,10 ; 36,88 ; 15,04 ; 34,41 ; 35,39 ; 55,64 ; 16,70 ; 13,23 ; 84,85 ; 18,73 ; 17,81 ; 14,54 ; 45,98 ; 19,89 ; 35,45 ; 11,33 ; 4,09 ; 11,91 ; 8,21 ; 9,35 ; 6,99 ; 16,30 ; 13,37 ; 2,53 ; 13 ; 8,02 ; 38,73 ; 26,83 ; 3,55 ; 28,36 ; 0,86 ; 18,26 
