UKER;;KC Purwakarta;KC Indramayu;KC Subang;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Kartini;KC Kuningan;KC Cirebon Gunung Jati;KC Garut;KC Tasikmalaya;KC Ciamis;KC Singaparna;KC Banjar;KC Sukabumi;KC Cianjur;KC Majalaya;KC Cimahi;KC Cibadak;KC Soreang;KC Bandung AA;KC Bandung Dewi Sartika;KC Bandung Naripan;KC Bandung A.H. Nasution;KC Bandung Martadinata;KC Bandung Kopo;KC Bandung Dago;KC Bandung Sukarno Hatta;KC Bandung Setiabudi
30-Dec;DEPO; 255 ; 237 ; 173 ; 137 ; 99 ; 368 ; 161 ; 554 ; 251 ; 222 ; 266 ; 145 ; 130 ; 180 ; 157 ; 176 ; 248 ; 206 ; 661 ; 160 ; 202 ; 319 ; 204 ; 330 ; 561 ; 255 ; 640 ; 343 ; 333 ; 369 
31-Dec;DEPO; 254 ; 237 ; 173 ; 136 ; 98 ; 366 ; 161 ; 555 ; 250 ; 222 ; 266 ; 145 ; 134 ; 180 ; 157 ; 178 ; 248 ; 202 ; 660 ; 159 ; 202 ; 319 ; 205 ; 332 ; 561 ; 256 ; 640 ; 343 ; 334 ; 365 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01-Jan;DEPO; 254 ; 236 ; 173 ; 136 ; 99 ; 365 ; 161 ; 554 ; 251 ; 219 ; 266 ; 145 ; 134 ; 179 ; 156 ; 179 ; 249 ; 202 ; 653 ; 160 ; 202 ; 319 ; 277 ; 291 ; 405 ; 288 ; 640 ; 447 ; 367 ; 307 
02-Jan;DEPO; 254 ; 236 ; 173 ; 136 ; 99 ; 365 ; 161 ; 554 ; 251 ; 219 ; 266 ; 146 ; 134 ; 179 ; 156 ; 179 ; 249 ; 202 ; 653 ; 160 ; 202 ; 320 ; 277 ; 291 ; 405 ; 288 ; 640 ; 448 ; 366 ; 307 
03-Jan;DEPO; 254 ; 236 ; 173 ; 136 ; 99 ; 364 ; 161 ; 555 ; 251 ; 219 ; 267 ; 146 ; 134 ; 180 ; 156 ; 178 ; 249 ; 202 ; 653 ; 160 ; 202 ; 319 ; 276 ; 291 ; 405 ; 288 ; 640 ; 448 ; 367 ; 307 
04-Jan;DEPO; 253 ; 236 ; 172 ; 136 ; 99 ; 364 ; 161 ; 555 ; 250 ; 220 ; 267 ; 144 ; 134 ; 180 ; 157 ; 179 ; 247 ; 202 ; 653 ; 159 ; 202 ; 319 ; 277 ; 291 ; 405 ; 288 ; 644 ; 446 ; 366 ; 306 
05-Jan;DEPO; 256 ; 235 ; 171 ; 136 ; 105 ; 363 ; 161 ; 555 ; 251 ; 220 ; 267 ; 144 ; 134 ; 180 ; 157 ; 178 ; 246 ; 202 ; 650 ; 159 ; 202 ; 316 ; 382 ; 290 ; 407 ; 288 ; 645 ; 450 ; 367 ; 306 
06-Jan;DEPO; 256 ; 235 ; 172 ; 136 ; 106 ; 363 ; 161 ; 555 ; 250 ; 220 ; 268 ; 143 ; 136 ; 179 ; 156 ; 178 ; 247 ; 201 ; 680 ; 159 ; 186 ; 310 ; 382 ; 289 ; 407 ; 289 ; 645 ; 450 ; 368 ; 306 
07-Jan;DEPO; 255 ; 236 ; 173 ; 136 ; 105 ; 362 ; 161 ; 555 ; 250 ; 220 ; 268 ; 143 ; 136 ; 179 ; 156 ; 179 ; 247 ; 201 ; 680 ; 159 ; 186 ; 311 ; 382 ; 290 ; 407 ; 289 ; 632 ; 450 ; 368 ; 306 
08-Jan;DEPO; 256 ; 236 ; 173 ; 136 ; 106 ; 363 ; 161 ; 555 ; 252 ; 220 ; 266 ; 143 ; 137 ; 179 ; 157 ; 180 ; 247 ; 201 ; 678 ; 159 ; 187 ; 332 ; 383 ; 290 ; 407 ; 289 ; 622 ; 447 ; 368 ; 305 
09-Jan;DEPO; 256 ; 235 ; 173 ; 136 ; 106 ; 362 ; 161 ; 555 ; 252 ; 220 ; 266 ; 143 ; 137 ; 179 ; 157 ; 179 ; 247 ; 201 ; 678 ; 159 ; 187 ; 332 ; 383 ; 290 ; 407 ; 289 ; 622 ; 446 ; 367 ; 305 
10-Jan;DEPO; 256 ; 236 ; 173 ; 136 ; 106 ; 362 ; 161 ; 555 ; 252 ; 220 ; 267 ; 143 ; 137 ; 178 ; 157 ; 179 ; 247 ; 201 ; 678 ; 159 ; 187 ; 332 ; 383 ; 290 ; 407 ; 289 ; 622 ; 446 ; 367 ; 305 
11-Jan;DEPO; 256 ; 235 ; 173 ; 136 ; 105 ; 362 ; 161 ; 554 ; 251 ; 220 ; 266 ; 142 ; 137 ; 178 ; 157 ; 180 ; 247 ; 200 ; 678 ; 159 ; 204 ; 332 ; 407 ; 291 ; 407 ; 289 ; 622 ; 446 ; 367 ; 305 
12-Jan;DEPO; 256 ; 234 ; 174 ; 136 ; 104 ; 362 ; 161 ; 556 ; 252 ; 220 ; 266 ; 142 ; 136 ; 179 ; 157 ; 180 ; 247 ; 201 ; 675 ; 159 ; 204 ; 332 ; 407 ; 291 ; 407 ; 290 ; 598 ; 447 ; 366 ; 303 
13-Jan;DEPO; 256 ; 234 ; 174 ; 136 ; 104 ; 362 ; 161 ; 556 ; 252 ; 220 ; 266 ; 142 ; 136 ; 179 ; 157 ; 180 ; 247 ; 201 ; 675 ; 159 ; 204 ; 332 ; 407 ; 291 ; 407 ; 290 ; 598 ; 447 ; 366 ; 303 
14-Jan;DEPO; 256 ; 234 ; 173 ; 136 ; 105 ; 362 ; 161 ; 555 ; 251 ; 221 ; 266 ; 142 ; 136 ; 178 ; 156 ; 180 ; 247 ; 201 ; 675 ; 158 ; 204 ; 332 ; 407 ; 290 ; 407 ; 290 ; 598 ; 445 ; 366 ; 302   
15-Jan;DEPO; 255 ; 236 ; 173 ; 136 ; 103 ; 362 ; 160 ; 555 ; 251 ; 220 ; 266 ; 143 ; 137 ; 179 ; 156 ; 180 ; 247 ; 200 ; 674 ; 158 ; 204 ; 332 ; 407 ; 290 ; 407 ; 291 ; 598 ; 447 ; 336 ; 302
16-Jan;DEPO; 256 ; 236 ; 173 ; 136 ; 103 ; 362 ; 161 ; 555 ; 251 ; 220 ; 266 ; 143 ; 137 ; 179 ; 156 ; 180 ; 246 ; 200 ; 673 ; 158 ; 204 ; 332 ; 407 ; 290 ; 407 ; 291 ; 598 ; 446 ; 336 ; 302 
17-Jan;DEPO; 256 ; 236 ; 173 ; 136 ; 104 ; 362 ; 161 ; 555 ; 251 ; 220 ; 266 ; 143 ; 137 ; 179 ; 155 ; 180 ; 246 ; 200 ; 674 ; 158 ; 203 ; 332 ; 407 ; 290 ; 407 ; 291 ; 597 ; 446 ; 335 ; 302 
18-Jan;DEPO; 256 ; 236 ; 173 ; 135 ; 100 ; 361 ; 161 ; 556 ; 251 ; 220 ; 266 ; 142 ; 137 ; 179 ; 155 ; 180 ; 246 ; 200 ; 673 ; 158 ; 203 ; 332 ; 407 ; 291 ; 407 ; 291 ; 597 ; 446 ; 335 ; 302
19-Jan;DEPO; 255 ; 236 ; 172 ; 136 ; 100 ; 359 ; 160 ; 554 ; 252 ; 220 ; 265 ; 142 ; 137 ; 179 ; 155 ; 179 ; 246 ; 200 ; 673 ; 157 ; 203 ; 367 ; 406 ; 290 ; 409 ; 289 ; 602 ; 446 ; 336 ; 303 
20-Jan;DEPO; 256 ; 235 ; 172 ; 136 ; 100 ; 358 ; 159 ; 554 ; 252 ; 220 ; 265 ; 142 ; 137 ; 178 ; 156 ; 180 ; 251 ; 200 ; 672 ; 158 ; 203 ; 367 ; 405 ; 290 ; 409 ; 289 ; 638 ; 444 ; 336 ; 303 
