UKER;;KC Purwakarta;KC Indramayu;KC Subang;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Kartini;KC Kuningan;KC Cirebon Gunung Jati;KC Garut;KC Tasikmalaya;KC Ciamis;KC Singaparna;KC Banjar;KC Sukabumi;KC Cianjur;KC Majalaya;KC Cimahi;KC Cibadak;KC Soreang;KC Bandung AA;KC Bandung Dewi Sartika;KC Bandung Naripan;KC Bandung A.H. Nasution;KC Bandung Martadinata;KC Bandung Kopo;KC Bandung Dago;KC Bandung Sukarno Hatta;KC Bandung Setiabudi
29-Dec;GIRO; 164 ; 93 ; 52 ; 30 ; 59 ; 79 ; 97 ; 249 ; 60 ; 92 ; 98 ; 100 ; 54 ; 51 ; 66 ; 82 ; 61 ; 22 ; 112 ; 95 ; 74 ; 320 ; 304 ; 272 ; 158 ; 118 ; 108 ; 186 ; 140 ; 105 
30-Dec;GIRO; 169 ; 104 ; 65 ; 30 ; 69 ; 66 ; 97 ; 234 ; 64 ; 90 ; 136 ; 112 ; 54 ; 51 ; 66 ; 85 ; 59 ; 20 ; 106 ; 95 ; 71 ; 291 ; 322 ; 282 ; 155 ; 123 ; 114 ; 179 ; 146 ; 100 
31-Dec;GIRO; 169 ; 100 ; 63 ; 36 ; 66 ; 64 ; 99 ; 220 ; 82 ; 103 ; 160 ; 116 ; 83 ; 123 ; 60 ; 94 ; 69 ; 19 ; 126 ; 97 ; 68 ; 268 ; 361 ; 292 ; 145 ; 227 ; 119 ; 184 ; 156 ; 109 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01-Jan;GIRO; 161 ; 92 ; 63 ; 30 ; 65 ; 60 ; 96 ; 225 ; 63 ; 101 ; 148 ; 109 ; 91 ; 53 ; 61 ; 99 ; 56 ; 19 ; 507 ; 104 ; 67 ; 265 ; 322 ; 282 ; 143 ; 117 ; 88 ; 170 ; 148 ; 102 
02-Jan;GIRO; 161 ; 92 ; 63 ; 30 ; 65 ; 60 ; 96 ; 225 ; 63 ; 101 ; 148 ; 109 ; 91 ; 53 ; 61 ; 99 ; 56 ; 19 ; 507 ; 104 ; 67 ; 265 ; 322 ; 282 ; 143 ; 117 ; 88 ; 170 ; 148 ; 102 
03-Jan;GIRO; 160 ; 94 ; 63 ; 29 ; 63 ; 59 ; 97 ; 229 ; 63 ; 102 ; 147 ; 111 ; 91 ; 51 ; 59 ; 92 ; 56 ; 19 ; 505 ; 104 ; 68 ; 267 ; 326 ; 282 ; 143 ; 115 ; 96 ; 171 ; 151 ; 102 
04-Jan;GIRO; 160 ; 95 ; 64 ; 29 ; 63 ; 59 ; 97 ; 230 ; 64 ; 103 ; 148 ; 112 ; 90 ; 52 ; 60 ; 92 ; 57 ; 20 ; 504 ; 105 ; 66 ; 271 ; 328 ; 279 ; 145 ; 118 ; 101 ; 172 ; 155 ; 103 
05-Jan;GIRO; 168 ; 94 ; 63 ; 29 ; 64 ; 60 ; 97 ; 220 ; 65 ; 106 ; 100 ; 97 ; 77 ; 54 ; 62 ; 92 ; 55 ; 20 ; 100 ; 102 ; 66 ; 270 ; 299 ; 273 ; 144 ; 125 ; 105 ; 168 ; 153 ; 103 
06-Jan;GIRO; 172 ; 74 ; 86 ; 27 ; 65 ; 58 ; 97 ; 221 ; 75 ; 104 ; 100 ; 100 ; 73 ; 50 ; 58 ; 90 ; 61 ; 20 ; 98 ; 97 ; 64 ; 264 ; 318 ; 277 ; 146 ; 118 ; 114 ; 166 ; 240 ; 104 
07-Jan;GIRO; 165 ; 79 ; 86 ; 27 ; 67 ; 58 ; 96 ; 229 ; 59 ; 103 ; 99 ; 102 ; 71 ; 49 ; 60 ; 87 ; 60 ; 21 ; 107 ; 97 ; 74 ; 253 ; 311 ; 252 ; 147 ; 113 ; 111 ; 171 ; 236 ; 114 
08-Jan;GIRO; 167 ; 76 ; 89 ; 28 ; 84 ; 63 ; 97 ; 232 ; 63 ; 101 ; 101 ; 105 ; 71 ; 46 ; 60 ; 89 ; 53 ; 20 ; 98 ; 97 ; 67 ; 256 ; 298 ; 262 ; 154 ; 107 ; 118 ; 161 ; 215 ; 114 
09-Jan;GIRO; 160 ; 75 ; 82 ; 31 ; 70 ; 62 ; 96 ; 217 ; 53 ; 102 ; 108 ; 105 ; 71 ; 46 ; 61 ; 86 ; 54 ; 20 ; 101 ; 92 ; 67 ; 258 ; 291 ; 259 ; 153 ; 105 ; 95 ; 158 ; 211 ; 114 
10-Jan;GIRO; 159 ; 76 ; 83 ; 30 ; 67 ; 63 ; 95 ; 220 ; 53 ; 103 ; 107 ; 107 ; 71 ; 47 ; 62 ; 88 ; 52 ; 21 ; 102 ; 91 ; 67 ; 260 ; 294 ; 250 ; 154 ; 107 ; 105 ; 158 ; 215 ; 114 
11-Jan;GIRO; 160 ; 76 ; 84 ; 30 ; 68 ; 66 ; 96 ; 221 ; 54 ; 103 ; 107 ; 107 ; 71 ; 48 ; 62 ; 90 ; 53 ; 21 ; 102 ; 92 ; 67 ; 265 ; 296 ; 251 ; 160 ; 110 ; 113 ; 160 ; 220 ; 115 
12-Jan;GIRO; 165 ; 73 ; 123 ; 33 ; 71 ; 67 ; 95 ; 230 ; 53 ; 98 ; 109 ; 98 ; 72 ; 48 ; 64 ; 88 ; 52 ; 22 ; 106 ; 88 ; 66 ; 265 ; 295 ; 258 ; 165 ; 123 ; 118 ; 155 ; 172 ; 115 
13-Jan;GIRO; 166 ; 75 ; 123 ; 32 ; 70 ; 74 ; 96 ; 236 ; 56 ; 96 ; 112 ; 98 ; 71 ; 46 ; 60 ; 86 ; 54 ; 20 ; 102 ; 92 ; 64 ; 262 ; 308 ; 262 ; 171 ; 112 ; 91 ; 151 ; 162 ; 113 
14-Jan;GIRO; 165 ; 75 ; 120 ; 30 ; 69 ; 71 ; 94 ; 227 ; 58 ; 98 ; 113 ; 98 ; 71 ; 47 ; 63 ; 84 ; 53 ; 21 ; 104 ; 96 ; 66 ; 270 ; 290 ; 255 ; 176 ; 107 ; 97 ; 142 ; 150 ; 112  
15-Jan;GIRO; 172 ; 73 ; 118 ; 30 ; 68 ; 72 ; 96 ; 216 ; 53 ; 94 ; 114 ; 101 ; 67 ; 46 ; 59 ; 84 ; 52 ; 21 ; 104 ; 84 ; 82 ; 255 ; 279 ; 270 ; 180 ; 109 ; 95 ; 142 ; 154 ; 111
16-Jan;GIRO; 171 ; 74 ; 120 ; 29 ; 67 ; 74 ; 95 ; 219 ; 53 ; 95 ; 114 ; 102 ; 67 ; 46 ; 59 ; 84 ; 53 ; 21 ; 105 ; 84 ; 83 ; 258 ; 281 ; 268 ; 179 ; 113 ; 104 ; 143 ; 158 ; 110 
17-Jan;GIRO; 173 ; 74 ; 120 ; 29 ; 67 ; 76 ; 96 ; 223 ; 54 ; 96 ; 115 ; 102 ; 67 ; 47 ; 59 ; 87 ; 52 ; 21 ; 105 ; 84 ; 83 ; 259 ; 286 ; 258 ; 181 ; 117 ; 113 ; 145 ; 162 ; 111 
18-Jan;GIRO; 172 ; 75 ; 121 ; 29 ; 68 ; 77 ; 96 ; 225 ; 54 ; 96 ; 115 ; 104 ; 68 ; 47 ; 59 ; 89 ; 52 ; 21 ; 105 ; 85 ; 84 ; 260 ; 287 ; 254 ; 182 ; 121 ; 120 ; 146 ; 167 ; 112
19-Jan;GIRO; 184 ; 74 ; 117 ; 30 ; 68 ; 78 ; 96 ; 225 ; 54 ; 95 ; 110 ; 98 ; 71 ; 47 ; 61 ; 86 ; 52 ; 20 ; 108 ; 83 ; 81 ; 255 ; 286 ; 252 ; 184 ; 121 ; 101 ; 140 ; 157 ; 112 
20-Jan;GIRO; 173 ; 74 ; 117 ; 24 ; 69 ; 77 ; 96 ; 223 ; 58 ; 95 ; 111 ; 100 ; 71 ; 47 ; 62 ; 83 ; 49 ; 20 ; 104 ; 89 ; 77 ; 251 ; 289 ; 260 ; 190 ; 121 ; 89 ; 140 ; 163 ; 108 
