UKER;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
29-Dec;GIRO; 150 ; 56 ; 84 ; 32 ; 59 ; 39 ; 88 ; 83 ; 73 ; 170 ; 109 ; 98 ; 134 ; 74 ; 50 ; 54 ; 80 ; 89 ; 45 ; 54 ; 13 ; 93 ; 118 ; 216 ; 66 ; 221 ; 57 ; 97 ; 183 ; 225 
30-Dec;GIRO; 152 ; 57 ; 86 ; 32 ; 60 ; 39 ; 89 ; 84 ; 74 ; 173 ; 110 ; 99 ; 136 ; 75 ; 51 ; 55 ; 81 ; 90 ; 46 ; 55 ; 13 ; 94 ; 119 ; 220 ; 67 ; 225 ; 57 ; 99 ; 186 ; 228 
31-Dec;GIRO; 169 ; 63 ; 95 ; 36 ; 66 ; 44 ; 99 ; 94 ; 82 ; 192 ; 123 ; 110 ; 151 ; 83 ; 57 ; 61 ; 90 ; 100 ; 51 ; 61 ; 15 ; 105 ; 133 ; 244 ; 74 ; 249 ; 64 ; 109 ; 206 ; 254 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01-Jan;GIRO; 175 ; 91 ; 79 ; 29 ; 71 ; 40 ; 102 ; 98 ; 63 ; 211 ; 52 ; 103 ; 99 ; 75 ; 59 ; 57 ; 89 ; 81 ; 45 ; 70 ; 17 ; 187 ; 144 ; 205 ; 93 ; 223 ; 68 ; 106 ; 106 ; 257 
02-Jan;GIRO; 190 ; 99 ; 85 ; 32 ; 77 ; 43 ; 110 ; 106 ; 68 ; 228 ; 56 ; 111 ; 107 ; 82 ; 64 ; 62 ; 96 ; 88 ; 49 ; 76 ; 18 ; 202 ; 156 ; 222 ; 100 ; 241 ; 73 ; 114 ; 114 ; 278 
03-Jan;GIRO; 190 ; 99 ; 86 ; 32 ; 77 ; 43 ; 110 ; 106 ; 68 ; 228 ; 56 ; 111 ; 107 ; 82 ; 64 ; 62 ; 96 ; 88 ; 49 ; 76 ; 18 ; 202 ; 156 ; 222 ; 100 ; 242 ; 73 ; 115 ; 115 ; 278 
04-Jan;GIRO; 191 ; 99 ; 86 ; 32 ; 77 ; 43 ; 111 ; 107 ; 69 ; 229 ; 57 ; 112 ; 107 ; 82 ; 64 ; 62 ; 96 ; 88 ; 49 ; 76 ; 18 ; 203 ; 157 ; 224 ; 101 ; 243 ; 74 ; 115 ; 115 ; 279 
05-Jan;GIRO; 162 ; 84 ; 73 ; 27 ; 65 ; 37 ; 94 ; 91 ; 58 ; 194 ; 48 ; 95 ; 91 ; 70 ; 55 ; 53 ; 82 ; 75 ; 42 ; 64 ; 15 ; 172 ; 133 ; 190 ; 85 ; 206 ; 62 ; 98 ; 98 ; 237 
06-Jan;GIRO; 167 ; 87 ; 75 ; 28 ; 68 ; 38 ; 97 ; 94 ; 60 ; 201 ; 50 ; 98 ; 94 ; 72 ; 57 ; 55 ; 84 ; 77 ; 43 ; 67 ; 16 ; 178 ; 138 ; 196 ; 88 ; 213 ; 65 ; 101 ; 101 ; 245 
