UKER;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
30-Dec;DPK; 539 ; 415 ; 583 ; 281 ; 360 ; 355 ; 388 ; 355 ; 537 ; 1.204 ; 531 ; 551 ; 706 ; 324 ; 229 ; 286 ; 434 ; 1.035 ; 421 ; 351 ; 282 ; 497 ; 1.091 ; 1.063 ; 512 ; 840 ; 742 ; 872 ; 740 ; 1.509 
31-Dec;DPK; 560 ; 425 ; 599 ; 287 ; 370 ; 363 ; 402 ; 367 ; 550 ; 1.233 ; 548 ; 568 ; 727 ; 335 ; 237 ; 295 ; 447 ; 1.053 ; 430 ; 361 ; 287 ; 511 ; 1.115 ; 1.097 ; 523 ; 872 ; 751 ; 890 ; 767 ; 1.550 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01-Jan;DPK; 581 ; 431 ; 599 ; 297 ; 379 ; 367 ; 414 ; 382 ; 556 ; 1.279 ; 479 ; 583 ; 714 ; 335 ; 247 ; 301 ; 468 ; 1.048 ; 411 ; 367 ; 292 ; 583 ; 1.158 ; 1.171 ; 554 ; 851 ; 750 ; 874 ; 496 ; 1.601 
02-Jan;DPK; 589 ; 433 ; 597 ; 295 ; 380 ; 365 ; 417 ; 386 ; 554 ; 1.283 ; 478 ; 583 ; 713 ; 337 ; 249 ; 302 ; 469 ; 1.043 ; 410 ; 369 ; 289 ; 593 ; 1.155 ; 1.174 ; 556 ; 859 ; 750 ; 873 ; 499 ; 1.602 
03-Jan;DPK; 587 ; 431 ; 594 ; 293 ; 378 ; 363 ; 415 ; 385 ; 551 ; 1.278 ; 476 ; 580 ; 709 ; 336 ; 248 ; 301 ; 467 ; 1.039 ; 408 ; 367 ; 287 ; 591 ; 1.150 ; 1.169 ; 554 ; 856 ; 749 ; 869 ; 497 ; 1.594 
04-Jan;DPK; 587 ; 431 ; 593 ; 293 ; 377 ; 362 ; 415 ; 384 ; 550 ; 1.276 ; 475 ; 579 ; 708 ; 335 ; 247 ; 300 ; 466 ; 1.037 ; 407 ; 366 ; 286 ; 591 ; 1.148 ; 1.167 ; 553 ; 855 ; 749 ; 867 ; 497 ; 1.591 
05-Jan;DPK; 549 ; 408 ; 569 ; 282 ; 359 ; 348 ; 391 ; 362 ; 530 ; 1.222 ; 458 ; 551 ; 678 ; 316 ; 233 ; 286 ; 443 ; 1.008 ; 392 ; 348 ; 278 ; 553 ; 1.103 ; 1.114 ; 529 ; 805 ; 731 ; 835 ; 472 ; 1.519 
06-Jan;DPK; 556 ; 412 ; 573 ; 284 ; 363 ; 350 ; 395 ; 367 ; 534 ; 1.236 ; 462 ; 555 ; 684 ; 319 ; 236 ; 289 ; 446 ; 1.018 ; 395 ; 351 ; 279 ; 562 ; 1.112 ; 1.125 ; 535 ; 814 ; 743 ; 843 ; 477 ; 1.531 
07-Jan;DPK; 551 ; 409 ; 569 ; 282 ; 360 ; 348 ; 391 ; 364 ; 530 ; 1.228 ; 459 ; 551 ; 679 ; 316 ; 234 ; 287 ; 443 ; 1.013 ; 392 ; 349 ; 277 ; 558 ; 1.105 ; 1.117 ; 532 ; 807 ; 741 ; 838 ; 474 ; 1.520 
08-Jan;DPK; 549 ; 417 ; 561 ; 286 ; 376 ; 348 ; 393 ; 359 ; 533 ; 1.230 ; 456 ; 551 ; 683 ; 320 ; 234 ; 284 ; 445 ; 1.004 ; 393 ; 343 ; 276 ; 545 ; 1.089 ; 1.098 ; 530 ; 812 ; 730 ; 809 ; 467 ; 1.536 
09-Jan;DPK; 542 ; 417 ; 564 ; 295 ; 364 ; 347 ; 390 ; 357 ; 525 ; 1.217 ; 454 ; 556 ; 688 ; 316 ; 235 ; 278 ; 444 ; 998 ; 424 ; 345 ; 276 ; 527 ; 1.086 ; 1.090 ; 518 ; 805 ; 723 ; 804 ; 464 ; 1.523 
