UKER;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
09-Feb;TABUNGAN; 280 ; 254 ; 347 ; 195 ; 215 ; 247 ; 218 ; 178 ; 344 ; 763 ; 249 ; 401 ; 416 ; 208 ; 133 ; 167 ; 297 ; 513 ; 261 ; 215 ; 217 ; 204 ; 647 ; 767 ; 288 ; 494 ; 223 ; 503 ; 237 ; 956 
10-Feb;TABUNGAN; 282 ; 256 ; 350 ; 200 ; 216 ; 250 ; 218 ; 183 ; 347 ; 782 ; 249 ; 400 ; 417 ; 205 ; 134 ; 164 ; 297 ; 515 ; 258 ; 217 ; 212 ; 205 ; 652 ; 772 ; 270 ; 491 ; 169 ; 469 ; 236 ; 945 
11-Feb;TABUNGAN; 282 ; 257 ; 364 ; 200 ; 217 ; 247 ; 219 ; 182 ; 341 ; 775 ; 250 ; 400 ; 416 ; 213 ; 133 ; 166 ; 297 ; 514 ; 257 ; 218 ; 211 ; 204 ; 649 ; 770 ; 269 ; 486 ; 169 ; 463 ; 235 ; 940 
12-Feb;TABUNGAN; 283 ; 262 ; 357 ; 200 ; 219 ; 245 ; 223 ; 187 ; 339 ; 760 ; 247 ; 398 ; 410 ; 211 ; 134 ; 166 ; 295 ; 511 ; 262 ; 217 ; 212 ; 201 ; 649 ; 767 ; 265 ; 488 ; 169 ; 462 ; 235 ; 935 
13-Feb;TABUNGAN; 287 ; 258 ; 354 ; 203 ; 227 ; 245 ; 222 ; 174 ; 341 ; 758 ; 251 ; 394 ; 412 ; 209 ; 137 ; 168 ; 324 ; 511 ; 262 ; 223 ; 215 ; 203 ; 651 ; 768 ; 275 ; 483 ; 180 ; 483 ; 237 ; 934 
14-Feb;TABUNGAN; 286 ; 256 ; 351 ; 199 ; 225 ; 244 ; 221 ; 174 ; 340 ; 755 ; 248 ; 395 ; 409 ; 210 ; 136 ; 169 ; 324 ; 508 ; 261 ; 223 ; 212 ; 201 ; 647 ; 766 ; 271 ; 480 ; 180 ; 482 ; 236 ; 931 
15-Feb;TABUNGAN; 284 ; 255 ; 351 ; 199 ; 223 ; 244 ; 220 ; 172 ; 339 ; 756 ; 248 ; 394 ; 410 ; 207 ; 137 ; 169 ; 324 ; 506 ; 259 ; 223 ; 211 ; 201 ; 645 ; 765 ; 270 ; 480 ; 179 ; 482 ; 235 ; 926 
16-Feb;TABUNGAN; 283 ; 256 ; 349 ; 201 ; 220 ; 242 ; 222 ; 171 ; 339 ; 751 ; 250 ; 396 ; 405 ; 205 ; 138 ; 167 ; 325 ; 503 ; 259 ; 224 ; 209 ; 197 ; 646 ; 762 ; 270 ; 474 ; 180 ; 481 ; 234 ; 921 
17-Feb;TABUNGAN; 281 ; 253 ; 348 ; 199 ; 221 ; 240 ; 220 ; 171 ; 339 ; 751 ; 248 ; 397 ; 399 ; 203 ; 138 ; 167 ; 324 ; 500 ; 258 ; 223 ; 209 ; 196 ; 642 ; 763 ; 269 ; 470 ; 180 ; 480 ; 233 ; 917 
18-Feb;TABUNGAN; 276 ; 250 ; 346 ; 203 ; 219 ; 240 ; 220 ; 169 ; 336 ; 752 ; 244 ; 388 ; 405 ; 204 ; 137 ; 167 ; 293 ; 500 ; 259 ; 222 ; 208 ; 201 ; 641 ; 768 ; 265 ; 473 ; 171 ; 468 ; 228 ; 942 
